구분,지정분야,의료기관명,소재지
2기,관절,서울성심병원,서울 동대문구
2기,관절,부민병원,서울 강서구
2기,관절,목동힘찬병원,서울 양천구
2기,관절,의료법인인당의료재단부민병원,부산 북구
2기,관절,부산센텀병원,부산 수영구
2기,관절,의료법인고려의료재단부산고려병원,부산 남구
2기,관절,부산본병원,부산 사하구
2기,관절,의료법인장산의료재단이춘택병원,경기 수원시
2기,관절,바른세상병원,경기 성남시
2기,관절,의료법인상원의료재단부평힘찬병원,인천 부평구
2기,관절,바로병원,인천 남구
2기,관절,나은병원,전북 익산시
2기,관절,동아병원,광주 남구
2기,관절,여수백병원,전남 여수시
2기,관절,순천하나병원,전남 순천시
2기,관절,의료법인한성재단포항세명기독병원,경북 포항시
2기,관절,진주세란병원,경남 진주시
2기,관절,예손병원,경기 부천시
2기,뇌혈관,명지성모병원,서울 영등포구
2기,뇌혈관,의료법인정산재단효성병원,충북 청주시
2기,뇌혈관,에스포항병원,경북 포항시
2기,뇌혈관,굿모닝병원,대구 남구
2기,대장항문,서울송도병원,서울 중구
2기,대장항문,한솔병원,서울 송파구
2기,대장항문,대항병원,서울 서초구
2기,대장항문,부산항운병원,부산 동래구
2기,대장항문,의료법인구의료재단구병원,대구 달서구
2기,수지접합,의료법인센텀의료재단서부산센텀병원,부산 사상구
2기,수지접합,의료법인성세의료재단성민병원,인천 서구
2기,수지접합,예손병원,경기 부천시
2기,수지접합,W(더블유)병원,대구 달서구
2기,심장,세종병원,경기 부천시
2기,알코올,온사랑병원,부산 동래구
2기,알코올,진병원,경기 부천시
2기,알코올,다사랑중앙병원,경기 의왕시
2기,알코올,주사랑병원,충북 청주시
2기,알코올,예사랑병원,충북 청주시
2기,알코올,다사랑병원,광주 서구
2기,알코올,한사랑병원,경남 김해시
2기,유방,(사)부산의료선교회세계로병원,부산 동래구
2기,척추,우리들병원,서울 강서구
2기,척추,우리들병원,서울 강남구
2기,척추,나누리병원,서울 강남구
2기,척추,더조은병원,서울 강남구
2기,척추,서울척병원,서울 성북구
2기,척추,우리들병원,부산 동래구
2기,척추,윌스기념병원,경기 수원시
2기,척추,21세기병원,인천 남동구
2기,척추,윌스기념병원,경기 안양시
2기,척추,의료법인나누리의료재단인천나누리병원,인천 부평구
2기,척추,대전우리병원,대전 서구
2기,척추,천안우리병원,충남 천안시
2기,척추,광주새우리병원,광주 서구
2기,척추,보광병원,대구 달서구
2기,척추,의료법인서봉의료재단보강병원,대구 달서구
2기,척추,대구참조은병원,대구 달서구
2기,척추,우리들병원,대구 중구
2기,화상,한림대부속한강성심병원,서울 영등포구
2기,화상,베스티안병원,서울 강남구
2기,화상,하나병원,부산 사하구
2기,화상,베스티안부산병원,부산 북구
2기,화상,푸른병원,대구 중구
2기,주산기,목포미즈아이병원,전남 목포시
2기,(모자),현대여성아동병원,전남 순천시
2기,(모자),인석의료재단보람병원,울산 남구
2기,산부인과,의료법인제일의료재단제일병원,서울 중구
2기,산부인과,미즈메디병원,서울 강서구
2기,산부인과,유광사여성병원,서울 강서구
2기,산부인과,인정병원,서울 은평구
2기,산부인과,봄빛병원,경기 안양시
2기,산부인과,시온여성병원,경기 수원시
2기,산부인과,허유재병원,경기 고양시
2기,산부인과,서울여성병원,경기 부천시
2기,산부인과,의료법인아인의료재단서울여성병원,인천 남구
2기,산부인과,분당제일여성병원,경기 성남시
2기,산부인과,에덴병원,광주 북구
2기,산부인과,미즈피아병원,광주 서구
2기,산부인과,신세계여성병원,대구 북구
2기,산부인과,여성아이병원,경북 포항시
2기,산부인과,포항여성병원,경북 포항시
2기,산부인과,의료법인경동의료재단효성병원,대구 수성구
2기,신경과,의료법인문성의료재단문성병원,대구 남구
2기,안과,의료법인 실로암안과병원,서울 강서구
2기,안과,의료법인건양의료재단김안과병원,서울 영등포구
2기,안과,누네안과병원,서울 강남구
2기,안과,세광의료재단성모안과병원,부산 해운대구
2기,안과,의료법인한길의료재단한길안과병원,인천 부평구
2기,안과,의료법인세경의료재단새빛안과병원,경기 고양시
2기,안과,밝은안과21병원,광주 서구
2기,안과,제일안과병원,대구 동구
2기,안과,누네안과병원,대구 수성구
2기,외과,민병원,서울 강북구
2기,외과,의료법인서전의료재단한사랑병원,경기 안산시
2기,이비,하나이비인후과병원,서울 강남구
2기,인후과,다인이비인후과병원,인천 부평구
2기,재활,국립재활원재활병원,서울 강북구
2기,의학과,서울재활병원,서울 은평구
2기,의학과,명지춘혜병원,서울 영등포구
2기,의학과,러스크분당병원,경기 성남시
2기,의학과,브래덤기념병원,인천 남동구
2기,의학과,미추홀요양병원,인천 남동구
2기,의학과,의료법인리노의료재단유성웰니스요양병원,대전 유성구
2기,의학과,남산병원,대구 중구
2기,의학과,근로복지공단대구병원,대구 북구
2기,의학과,늘봄재활전문병원,제주 관덕로
2기,한방중풍,의료법인동서한방병원,서울 서대문구
2기,한방중풍,의료법인녹산의료재단동수원한방병원,경기 수원시
2기,한방척추,자생한방병원,서울 강남구
2기,한방척추,모커리한방병원,서울 강남구
2기,한방척추,의료법인자생의료재단자생한방병원,경기 부천시
2기,한방척추,재단법인자생의료재단대전자생한방병원,대전 서구
